Designator,Mid X,Mid Y,Layer,Rotation
C1,42.250000,47.000000,Bottom,-90.000000
C16,45.000000,40.500000,Bottom,180.000000
C17,45.000000,35.500000,Bottom,0.000000
C18,44.000000,33.500000,Bottom,180.000000
C19,35.250000,33.000000,Bottom,0.000000
C20,38.000000,33.500000,Bottom,0.000000
C21,39.000000,40.500000,Bottom,0.000000
C22,46.050000,32.400000,Bottom,0.000000
C23,48.000000,36.500000,Bottom,0.000000
C24,39.000000,35.500000,Bottom,180.000000
C25,35.000000,37.500000,Bottom,180.000000
C26,44.000000,38.500000,Bottom,0.000000
C27,40.000000,37.500000,Bottom,0.000000
C30,44.800000,24.200000,Bottom,0.000000
C31,39.250000,25.000000,Bottom,180.000000
C32,49.500000,26.000000,Bottom,-90.000000
C33,43.000000,24.500000,Bottom,-90.000000
C34,43.000000,21.200000,Bottom,0.000000
C35,52.500000,27.000000,Bottom,-90.000000
C38,35.500000,28.750000,Bottom,0.000000
C39,33.500000,29.750000,Bottom,0.000000
C40,31.500000,28.750000,Bottom,0.000000
C41,31.500000,26.750000,Bottom,0.000000
C42,33.500000,27.750000,Bottom,180.000000
C44,45.500000,25.250000,Bottom,0.000000
C45,43.000000,28.500000,Bottom,-90.000000
C46,34.500000,31.250000,Bottom,0.000000
C47,43.500000,30.750000,Bottom,0.000000
C53,49.000000,28.750000,Bottom,-90.000000
C54,47.750000,25.750000,Bottom,90.000000
C55,39.500000,30.750000,Bottom,180.000000
C56,41.750000,26.500000,Bottom,-90.000000
C63,46.500000,30.750000,Bottom,180.000000
C64,40.750000,28.500000,Bottom,90.000000
C65,37.500000,31.250000,Bottom,0.000000
C69,42.600000,5.000000,Bottom,0.000000
C70,43.200000,2.650000,Bottom,180.000000
C71,38.500000,5.750000,Bottom,180.000000
C72,36.500000,5.750000,Bottom,180.000000
C73,40.500000,5.750000,Bottom,180.000000
J2,8.370000,51.230000,Bottom,-90.000000
JP1,44.000000,47.750000,Bottom,-90.000000
R1,38.250000,47.750000,Bottom,0.000000
R2,38.250000,48.750000,Bottom,0.000000
R19,33.500000,26.125000,Bottom,180.000000
R20,42.750000,9.250000,Bottom,180.000000
R24,20.750000,11.750000,Bottom,0.000000
R25,59.500000,51.000000,Bottom,180.000000
R26,59.500000,52.000000,Bottom,180.000000
R27,59.500000,53.000000,Bottom,180.000000
R28,59.500000,54.000000,Bottom,180.000000
R31,44.100000,4.500000,Bottom,-90.000000
R32,42.600000,4.000000,Bottom,180.000000
R34,38.000000,43.600000,Bottom,180.000000
R39,42.250000,33.250000,Bottom,90.000000
R42,49.000000,33.250000,Bottom,90.000000
U1,40.500000,47.050000,Bottom,90.000000
1V0_FD,28.000000,2.500000,Top,0.000000
1V0_MGT,22.749000,36.136845,Top,0.000000
1V2,18.500000,17.500000,Top,0.000000
1V8,2.500000,17.500000,Top,0.000000
1V35,2.500000,3.000000,Top,0.000000
3V3_FD,18.500000,3.000000,Top,0.000000
C2,11.590000,38.450000,Top,-90.000000
C3,25.412500,9.925000,Top,90.000000
C4,26.400000,4.650000,Top,-90.000000
C5,22.412500,12.925000,Top,180.000000
C6,20.662500,10.675000,Top,-90.000000
C7,4.850000,11.000000,Top,180.000000
C8,4.850000,9.500000,Top,180.000000
C9,16.150000,9.500000,Top,0.000000
C10,16.150000,11.000000,Top,0.000000
C11,10.500000,14.500000,Top,0.000000
C12,18.500000,14.250000,Top,-90.000000
C13,18.500000,6.250000,Top,90.000000
C14,2.500000,6.250000,Top,90.000000
C15,2.500000,14.250000,Top,-90.000000
C28,59.750000,17.500000,Top,-90.000000
C29,60.750000,17.500000,Top,-90.000000
C36,26.750000,22.750000,Top,180.000000
C37,26.750000,23.750000,Top,180.000000
C43,57.250000,34.000000,Top,90.000000
C48,26.750000,37.750000,Top,90.000000
C49,28.750000,37.750000,Top,90.000000
C50,26.750000,32.250000,Top,90.000000
C51,28.750000,32.250000,Top,90.000000
C52,55.250000,34.000000,Top,90.000000
C57,34.250000,46.250000,Top,180.000000
C58,34.250000,44.250000,Top,180.000000
C59,57.250000,28.750000,Top,90.000000
C60,55.250000,29.000000,Top,90.000000
C61,41.750000,46.250000,Top,180.000000
C62,41.750000,44.250000,Top,180.000000
C66,24.250000,45.000000,Top,-90.000000
C67,5.950000,44.350000,Top,90.000000
C68,12.550000,44.350000,Top,90.000000
C74,54.000000,48.400000,Top,180.000000
C75,60.250000,12.000000,Top,180.000000
D1,28.500000,42.500000,Top,90.000000
D2,11.250000,2.000000,Top,180.000000
D3,17.000000,36.500000,Top,-90.000000
FB1,24.700000,36.950000,Top,-90.000000
FID1,56.500000,3.500000,Top,0.000000
FID2,3.500000,47.500000,Top,0.000000
J1,60.250000,41.750000,Top,90.000000
J3,10.000000,28.000000,Top,-90.000000
L1,5.750000,14.250000,Top,90.000000
L2,5.750000,6.250000,Top,-90.000000
L3,15.250000,6.250000,Top,-90.000000
L4,15.250000,14.250000,Top,90.000000
R3,7.950000,38.450000,Top,-90.000000
R4,10.140000,39.000000,Top,180.000000
R5,10.140000,37.900000,Top,180.000000
R6,23.650000,4.650000,Top,90.000000
R7,24.162500,7.675000,Top,180.000000
R8,25.400000,5.650000,Top,90.000000
R9,25.400000,3.650000,Top,-90.000000
R10,22.162500,7.675000,Top,180.000000
R11,20.662500,8.675000,Top,90.000000
R12,8.750000,5.250000,Top,-90.000000
R13,11.250000,5.250000,Top,-90.000000
R14,9.750000,5.250000,Top,-90.000000
R15,12.250000,5.250000,Top,-90.000000
R16,60.250000,19.000000,Top,0.000000
R17,61.750000,17.500000,Top,90.000000
R18,61.750000,19.500000,Top,90.000000
R21,18.800000,46.600000,Top,-90.000000
R22,18.800000,44.400000,Top,90.000000
R23,14.250000,25.500000,Top,180.000000
R29,58.750000,17.500000,Top,90.000000
R30,58.750000,19.500000,Top,90.000000
R33,48.500000,3.750000,Top,0.000000
R35,38.200000,47.400000,Top,180.000000
R36,38.200000,48.400000,Top,180.000000
R37,38.200000,49.400000,Top,180.000000
R38,27.000000,42.500000,Top,-90.000000
R40,14.000000,2.000000,Top,0.000000
R41,18.500000,36.500000,Top,-90.000000
U2,22.912500,9.925000,Top,-90.000000
U3,10.500000,10.250000,Top,0.000000
U4,42.000000,31.000000,Top,90.000000
U6,42.400000,9.200000,Top,90.000000
U7,49.750000,46.500000,Top,0.000000
U8,8.600000,45.000000,Top,-90.000000
U9,21.600000,45.012500,Top,0.000000
U10,15.200000,45.000000,Top,-90.000000
Y1,60.250000,14.250000,Top,90.000000
